,id,name,effect,god,rarity,tribe,mana,attack,health,type,live,set,collectable
0,1208,Mammon's Stalwart,Frontline.<br>Roar: Summon a 2/2 Netherling.,neutral,common,"{'String': 'nether', 'Valid': True}",6,"{'Int64': 3, 'Valid': True}","{'Int64': 6, 'Valid': True}",creature,true,core,True
1,28,Apate Conspirator,Roar: Confuse a random enemy creature.,deception,rare,"{'String': 'guild', 'Valid': True}",1,"{'Int64': 2, 'Valid': True}","{'Int64': 1, 'Valid': True}",creature,true,genesis,True
2,46,Untold Greed,Destroy target friendly creature.<br>Draw two cards.,death,rare,"{'String': '', 'Valid': False}",1,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
3,1076,Battlebard,Roar: Give a friendly Viking +2 strength.,neutral,epic,"{'String': 'viking', 'Valid': True}",1,"{'Int64': 2, 'Valid': True}","{'Int64': 1, 'Valid': True}",creature,true,core,True
4,1077,Trial Spirit,Roar: Give a friendly creature +1 health.,neutral,common,"{'String': 'aether', 'Valid': True}",1,"{'Int64': 1, 'Valid': True}","{'Int64': 3, 'Valid': True}",creature,true,core,True
5,915,Council of the Gods,Delve a common god power from your domain.<br>It replaces your god power.<br>You cannot use it this turn.<br>Gain 5 favor.,neutral,common,"{'String': '', 'Valid': False}",2,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,trial,True
6,916,The Trial Begins,"Pull from your deck a creature of your choice, that matches your god's domain, into your hand. Shuffle afterwards.",neutral,common,"{'String': '', 'Valid': False}",3,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,trial,True
7,1143,Arrow of Rage,Deal X damage to an enemy creature where X is equal to the strength of a random creature you control.,nature,rare,"{'String': '', 'Valid': False}",1,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,core,True
8,1144,Athena's Conjurer,Frontline.<br>Roar: Summon a 4/2 Propyrean Owl with frontline.,neutral,rare,"{'String': 'olympian', 'Valid': True}",6,"{'Int64': 2, 'Valid': True}","{'Int64': 4, 'Valid': True}",creature,true,core,True
9,1145,The Nemean Lion,Frontline.<br>Gain +1/+1 when a creature with roar enters the board.,neutral,legendary,"{'String': '', 'Valid': False}",3,"{'Int64': 2, 'Valid': True}","{'Int64': 2, 'Valid': True}",creature,true,core,True
10,917,Vow of Champions,Pick one —<br>• Draw a card.<br>• Gain 7 favor.<br>• Deal 2 damage.<br>• Heal your god for 4.,neutral,common,"{'String': '', 'Valid': False}",2,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,trial,True
11,918,Trial of the Underworld,"Pull a random 5-mana creature from either void to your side of the board. Repeat this for 6, 7, 8, and 9 mana.",death,epic,"{'String': '', 'Valid': False}",8,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,trial,True
12,919,Trial of the Shadows,Fill your side of the board with Shadow of Lethenons.,deception,rare,"{'String': '', 'Valid': False}",7,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,trial,True
13,920,Trial of the First Pillar,All creatures have their strength and health set to 2. Summon a 2/5 Pillar with frontline and can't attack.,light,rare,"{'String': '', 'Valid': False}",6,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,trial,True
14,16,Faustian Pact,"Draw nine cards.<br>At the end of your turn, obliterate your hand.",death,epic,"{'String': '', 'Valid': False}",3,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
15,21,"Osiris, the Eternal",Afterlife: Shuffle this creature into your deck. It keeps all buffs.,light,legendary,"{'String': 'anubian', 'Valid': True}",3,"{'Int64': 3, 'Valid': True}","{'Int64': 4, 'Valid': True}",creature,true,genesis,True
16,22,"Anubis, Guide of Souls","Backline.<br>Whenever a friendly Anubian dies, draw a card.",neutral,legendary,"{'String': 'anubian', 'Valid': True}",6,"{'Int64': 5, 'Valid': True}","{'Int64': 6, 'Valid': True}",creature,true,genesis,True
17,23,Portal Wrangler,Roar: Add a copy of the last creature played to your hand.,magic,common,"{'String': 'mystic', 'Valid': True}",4,"{'Int64': 3, 'Valid': True}","{'Int64': 4, 'Valid': True}",creature,true,genesis,True
18,24,Midnight Cat,Flank.<br>Roar: Give a friendly creature flank.,neutral,common,"{'String': 'wild', 'Valid': True}",1,"{'Int64': 2, 'Valid': True}","{'Int64': 2, 'Valid': True}",creature,true,genesis,True
19,29,"Hephaestus, The Enchanter",Roar: Equip a random enchanted weapon if you have 3 Olympians in your void.,war,legendary,"{'String': 'olympian', 'Valid': True}",4,"{'Int64': 4, 'Valid': True}","{'Int64': 4, 'Valid': True}",creature,true,genesis,True
20,30,Radiant Guardian,Frontline.<br>Roar: Set an enemy creature's health to 2.,light,common,"{'String': 'aether', 'Valid': True}",7,"{'Int64': 5, 'Valid': True}","{'Int64': 7, 'Valid': True}",creature,true,genesis,True
21,31,Photogenesis,Add four random Nature cards to your hand.<br>Refresh six mana.,nature,epic,"{'String': '', 'Valid': False}",7,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
22,33,Sentinel Princess,"Roar: If you control another Atlantean, this gets +1 strength.",neutral,common,"{'String': 'atlantean', 'Valid': True}",1,"{'Int64': 2, 'Valid': True}","{'Int64': 2, 'Valid': True}",creature,true,genesis,True
23,34,Foolhardy Berserker,"After this creature deals damage, give a random other friendly Viking +2 strength.",neutral,common,"{'String': 'viking', 'Valid': True}",2,"{'Int64': 3, 'Valid': True}","{'Int64': 2, 'Valid': True}",creature,true,genesis,True
24,35,Rolling Watcher,"At the start of each turn, this creature gets +1 strength.",neutral,common,"{'String': 'atlantean', 'Valid': True}",2,"{'Int64': 0, 'Valid': True}","{'Int64': 3, 'Valid': True}",creature,true,genesis,True
